split,idx
train,11675
train,2725
train,11913
train,5277
train,12412
train,9536
train,2584
train,4888
train,2731
train,4645
train,5722
train,5586
train,10397
train,9081
train,9219
train,9351
train,5917
train,11097
train,6902
train,1958
train,11129
train,13446
train,11822
train,5838
train,10645
train,11033
train,1910
train,4841
train,8991
train,198
train,3621
train,5852
train,3633
train,6234
train,12854
train,4220
train,3313
train,365
train,7878
train,11949
train,12335
train,13326
train,5960
train,12053
train,1578
train,5315
train,2961
train,9996
train,12587
train,2419
train,6483
train,3042
train,10351
train,11984
train,1458
train,1151
train,3764
train,666
train,9722
train,3308
train,13748
train,12051
train,13487
train,1936
train,9717
train,9593
train,11981
train,4533
train,6725
train,1634
train,12683
train,1516
train,2171
train,6433
train,1192
train,11437
train,4233
train,12831
train,5203
train,5051
train,5287
train,5241
train,7757
train,3588
train,9049
train,3045
train,9165
train,5374
train,11489
train,13201
train,228
train,1549
train,1623
train,641
train,11160
train,11070
train,181
train,8278
train,4649
train,13181
train,1670
train,11852
train,7815
train,12003
train,3196
train,5497
train,8159
train,7913
train,676
train,12992
train,6991
train,3300
train,6609
train,8456
train,13490
train,9797
train,8229
train,3025
train,7363
train,3626
train,1593
train,6487
train,13016
train,2880
train,2499
train,8064
train,11269
train,9620
train,9968
train,6184
train,11669
train,3578
train,12471
train,1477
train,13095
train,3814
train,5719
train,644
train,3870
train,2925
train,3145
train,2919
train,11177
train,12942
train,5316
train,9092
train,1222
train,1396
train,11640
train,351
train,13485
train,9250
train,11954
train,6661
train,3282
train,9096
train,12543
train,11164
train,13001
train,8810
train,12538
train,8462
train,3369
train,4575
train,12036
train,4079
train,8804
train,3977
train,12502
train,12370
train,11023
train,4582
train,6249
train,10335
train,4177
train,3448
train,8415
train,10741
train,7030
train,1794
train,3587
train,3677
train,6294
train,7934
train,10623
train,540
train,3794
train,74
train,2955
train,1075
train,11190
train,8186
train,3862
train,5058
train,8407
train,910
train,7500
train,11671
train,2388
train,5288
train,12455
train,8527
train,2795
train,2316
train,6597
train,8172
train,12443
train,3070
train,22
train,8179
train,11431
train,12859
train,3499
train,8631
train,4438
train,2274
train,2677
train,6241
train,1728
train,4714
train,13576
train,13532
train,10603
train,3412
train,1170
train,4721
train,3766
train,7759
train,8472
train,4411
train,3609
train,13288
train,12376
train,907
train,2620
train,6403
train,2422
train,7292
train,114
train,12353
train,4137
train,6667
train,812
train,9906
train,7162
train,10236
train,9329
train,5590
train,1363
train,3068
train,4259
train,1025
train,558
train,3204
train,11304
train,6216
train,5217
train,426
train,11051
train,800
train,8794
train,9381
train,4149
train,3083
train,1013
train,2075
train,10566
train,9181
train,4564
train,10131
train,11710
train,12010
train,11408
train,7684
train,1646
train,13222
train,10861
train,8938
train,7314
train,1500
train,1902
train,10720
train,4854
train,13706
train,4462
train,7572
train,2920
train,13737
train,7525
train,11697
train,7796
train,10316
train,10403
train,3727
train,4787
train,10087
train,8817
train,8546
train,1710
train,13347
train,4091
train,4570
train,7562
train,1275
train,2582
train,1834
train,5351
train,10872
train,9290
train,3818
train,4041
train,4759
train,8591
train,4703
train,3454
train,9606
train,11076
train,1913
train,1087
train,5930
train,3971
train,2297
train,6353
train,13083
train,8596
train,11294
train,11121
train,13491
train,6097
train,4708
train,7925
train,9942
train,6681
train,13265
train,13126
train,10513
train,11638
train,11778
train,11803
train,1278
train,10004
train,1531
train,2736
train,5026
train,4040
train,8944
train,5978
train,4754
train,12717
train,3793
train,12675
train,4145
train,11441
train,8751
train,3684
train,734
train,11658
train,9314
train,7918
train,5508
train,6169
train,9460
train,4915
train,2991
train,649
train,3242
train,7896
train,13371
train,12057
train,10888
train,4195
train,8909
train,9723
train,9167
train,3797
train,5265
train,7589
train,12574
train,1062
train,5139
train,12554
train,3234
train,3379
train,3856
train,2604
train,6612
train,4876
train,13076
train,3999
train,1318
train,884
train,11422
train,12064
train,10145
train,11678
train,516
train,1384
train,11328
train,8797
train,9140
train,2984
train,2854
train,8197
train,3496
train,5370
train,2481
train,7958
train,5191
train,13477
train,7116
train,5319
train,5902
train,12881
train,674
train,13190
train,1143
train,3113
train,10788
train,2566
train,3960
train,345
train,6015
train,5127
train,8263
train,11508
train,4458
train,2953
train,13151
train,2784
train,2462
train,13499
train,3612
train,1027
train,4602
train,4170
train,5813
train,1324
train,1173
train,67
train,6770
train,1771
train,4511
train,11088
train,880
train,11277
train,11595
train,3028
train,12772
train,4661
train,12165
train,5270
train,10029
train,1943
train,6132
train,7944
train,9023
train,4389
train,9015
train,10411
train,1215
train,8511
train,1190
train,1177
train,12778
train,5266
train,1127
train,7065
train,9913
train,1166
train,9594
train,6141
train,10273
train,11558
train,11831
train,13475
train,2065
train,416
train,10007
train,12548
train,13542
train,4992
train,1897
train,10474
train,9908
train,6116
train,1012
train,3334
train,10598
train,5982
train,3211
train,7746
train,13452
train,7485
train,2765
train,12819
train,12250
train,8825
train,8992
train,3751
train,9193
train,1933
train,11968
train,13270
train,1677
train,2588
train,1373
train,9613
train,1717
train,1451
train,8231
train,10305
train,1175
train,3945
train,11167
train,10026
train,11253
train,11723
train,4322
train,2227
train,7862
train,10395
train,13251
train,4726
train,12409
train,7831
train,4831
train,7038
train,5556
train,4398
train,253
train,9322
train,1954
train,9497
train,9504
train,4996
train,12638
train,1135
train,9215
train,7000
train,5451
train,8217
train,620
train,9871
train,794
train,8981
train,12228
train,7471
train,715
train,945
train,1048
train,3466
train,9061
train,417
train,11318
train,8925
train,1038
train,10726
train,4348
train,5995
train,2409
train,735
train,7533
train,1262
train,9627
train,3730
train,8033
train,4327
train,13561
train,11170
train,13520
train,5177
train,7470
train,891
train,12153
train,955
train,2989
train,12659
train,11516
train,9806
train,13512
train,9767
train,5591
train,10821
train,6726
train,10989
train,11995
train,13179
train,618
train,13158
train,8352
train,3192
train,3446
train,11393
train,5790
train,1515
train,2931
train,5278
train,9003
train,267
train,493
train,6131
train,7907
train,623
train,12435
train,5071
train,9311
train,9135
train,6588
train,11141
train,4353
train,10819
train,11709
train,8041
train,2573
train,3878
train,524
train,13606
train,4004
train,3311
train,7419
train,6596
train,3525
train,7414
train,3362
train,7542
train,5013
train,13632
train,5755
train,8063
train,3151
train,9713
train,6936
train,1142
train,3085
train,10157
train,10617
train,12896
train,4126
train,1307
train,3030
train,13509
train,9930
train,12827
train,2264
train,3767
train,2420
train,13486
train,4165
train,4843
train,4718
train,10699
train,4412
train,8207
train,7498
train,9315
train,9714
train,11137
train,12950
train,6380
train,12877
train,7961
train,1279
train,11609
train,6400
train,9162
train,12805
train,8442
train,8239
train,9230
train,1574
train,594
train,11687
train,7721
train,2962
train,5633
train,5964
train,8791
train,6152
train,7019
train,1247
train,3575
train,10225
train,10166
train,8099
train,11978
train,4739
train,11243
train,5143
train,3514
train,3502
train,6716
train,3603
train,8096
train,747
train,11828
train,9587
train,8872
train,5163
train,939
train,566
train,10158
train,10516
train,539
train,4680
train,445
train,180
train,9572
train,1705
train,2834
train,9650
train,4146
train,12261
train,8213
train,11210
train,11567
train,9535
train,6607
train,9383
train,8599
train,11591
train,8037
train,6235
train,7953
train,11835
train,1217
train,12190
train,7362
train,3475
train,7379
train,3387
train,2130
train,9508
train,5855
train,13082
train,8068
train,13174
train,6835
train,12579
train,1233
train,3264
train,2050
train,5625
train,4832
train,4563
train,9294
train,9305
train,8044
train,7475
train,7695
train,7868
train,12990
train,2355
train,6934
train,2295
train,10118
train,5339
train,5538
train,2426
train,5859
train,2334
train,12733
train,9511
train,6307
train,4777
train,5055
train,7515
train,11376
train,357
train,4178
train,11529
train,10629
train,3873
train,2247
train,3473
train,12850
train,7113
train,11379
train,409
train,6375
train,13260
train,7372
train,6000
train,4414
train,13277
train,6616
train,10232
train,2101
train,2495
train,11340
train,6789
train,4756
train,39
train,9837
train,7096
train,2170
train,4815
train,11739
train,2214
train,9283
train,1404
train,1145
train,8318
train,184
train,3879
train,9134
train,7333
train,1061
train,10074
train,13417
train,5796
train,10037
train,11953
train,10289
train,12780
train,9055
train,9158
train,8558
train,13565
train,12089
train,1906
train,3161
train,11642
train,7637
train,4806
train,12747
train,5310
train,7202
train,2884
train,2899
train,12269
train,3229
train,7422
train,1002
train,10515
train,6567
train,6669
train,3054
train,7698
train,8218
train,10075
train,11035
train,1596
train,1981
train,930
train,10130
train,13055
train,7385
train,4251
train,11838
train,8896
train,5063
train,3510
train,1064
train,12672
train,1123
train,6467
train,9523
train,2174
train,4977
train,3363
train,9801
train,5936
train,6313
train,7301
train,5992
train,2972
train,12851
train,13157
train,9453
train,6594
train,11053
train,1607
train,1149
train,4774
train,762
train,11145
train,4271
train,8114
train,9189
train,3540
train,2354
train,3643
train,6348
train,7354
train,10915
train,379
train,11982
train,1368
train,751
train,7872
train,4735
train,1589
train,9648
train,12120
train,3948
train,5836
train,6117
train,4270
train,10737
train,9808
train,808
train,2634
train,3397
train,1261
train,4498
train,1105
train,4538
train,1139
train,4053
train,5138
train,11957
train,2383
train,8
train,4993
train,11029
train,8084
train,6759
train,1608
train,9560
train,9876
train,12332
train,12622
train,2952
train,7049
train,4615
train,2244
train,2866
train,8277
train,2266
train,12777
train,3989
train,13010
train,3248
train,9706
train,9194
train,2706
train,12091
train,9204
train,12105
train,13665
train,10112
train,2572
train,9905
train,6648
train,9608
train,3173
train,7256
train,8007
train,10877
train,9035
train,12604
train,3181
train,2860
train,521
train,2210
train,11861
train,3929
train,13186
train,13395
train,6513
train,6125
train,4312
train,7726
train,4227
train,4835
train,2047
train,8309
train,418
train,7593
train,1113
train,10676
train,5246
train,84
train,642
train,7687
train,4144
train,8273
train,3521
train,10375
train,11119
train,11242
train,4916
train,484
train,7889
train,6153
train,6048
train,10761
train,748
train,7997
train,12146
train,8431
train,7773
train,12388
train,7491
train,7391
train,1194
train,10373
train,12092
train,9413
train,2924
train,8232
train,7933
train,1030
train,1106
train,5883
train,5059
train,2997
train,10961
train,498
train,9770
train,7114
train,11165
train,2921
train,4142
train,5286
train,8246
train,10154
train,11568
train,7842
train,2348
train,11586
train,5912
train,1603
train,8379
train,2226
train,4505
train,10099
train,13664
train,5434
train,7624
train,7209
train,8134
train,4584
train,11543
train,9548
train,13372
train,5069
train,9584
train,704
train,10477
train,9301
train,12527
train,1795
train,2151
train,5906
train,11055
train,1349
train,10838
train,10102
train,1896
train,5557
train,13643
train,5260
train,1801
train,8700
train,13110
train,3725
train,9079
train,7144
train,107
train,2785
train,645
train,11633
train,5340
train,12247
train,13172
train,11551
train,287
train,10398
train,3344
train,10143
train,10465
train,7458
train,13128
train,5853
train,13718
train,12759
train,36
train,5262
train,10454
train,7990
train,1292
train,11758
train,2116
train,7448
train,2204
train,13645
train,3040
train,13100
train,458
train,8364
train,4315
train,10942
train,8018
train,8855
train,4949
train,13539
train,10997
train,11512
train,1488
train,11692
train,109
train,8469
train,9527
train,1125
train,2276
train,1919
train,9879
train,1201
train,13322
train,9635
train,7172
train,13510
train,9551
train,8894
train,459
train,13677
train,8755
train,12813
train,536
train,8248
train,13057
train,8978
train,2017
train,11395
train,8567
train,13094
train,1786
train,6212
train,11694
train,10753
train,2083
train,5401
train,7967
train,6076
train,5716
train,11411
train,1533
train,10251
train,13295
train,12362
train,4935
train,4116
train,11744
train,5540
train,11492
train,12671
train,10868
train,8361
train,9113
train,7429
train,4028
train,13391
train,3088
train,12883
train,2169
train,4400
train,9316
train,2427
train,3244
train,11
train,3375
train,7272
train,3170
train,8178
train,11874
train,1653
train,12658
train,8908
train,6920
train,4549
train,5645
train,12129
train,9683
train,3952
train,508
train,1833
train,7044
train,3552
train,2813
train,103
train,5212
train,13183
train,12366
train,6839
train,6830
train,5283
train,1745
train,8014
train,8563
train,3895
train,7830
train,12594
train,4907
train,8176
train,6089
train,10432
train,6916
train,9141
train,4868
train,4007
train,13524
train,4878
train,7807
train,10494
train,11392
train,8202
train,10695
train,5881
train,2439
train,10084
train,6801
train,4941
train,5688
train,6958
train,3939
train,12914
train,11387
train,8645
train,13525
train,4940
train,3648
train,3060
train,7595
train,10224
train,2739
train,12393
train,11644
train,5576
train,12839
train,4793
train,8250
train,6935
train,1199
train,6504
train,7957
train,1447
train,2093
train,8632
train,1752
train,8045
train,7002
train,13511
train,3434
train,9197
train,6833
train,4333
train,8698
train,5174
train,5594
train,13424
train,13735
train,6358
train,7260
train,9751
train,10326
train,6887
train,10517
train,3468
train,13349
train,8682
train,12059
train,1974
train,4818
train,8120
train,6685
train,12298
train,10352
train,3171
train,5012
train,6287
train,12542
train,11133
train,830
train,8845
train,729
train,9000
train,11514
train,4654
train,1440
train,12513
train,10723
train,6892
train,1862
train,12708
train,3195
train,3447
train,3513
train,9309
train,8823
train,6160
train,5070
train,3126
train,5829
train,12337
train,7077
train,10334
train,12203
train,754
train,10849
train,9576
train,6573
train,3467
train,7146
train,7304
train,13145
train,13654
train,13575
train,1679
train,12651
train,11135
train,37
train,13166
train,9393
train,13497
train,6245
train,7043
train,6068
train,8452
train,2404
train,9073
train,6880
train,745
train,3433
train,10270
train,3909
train,611
train,4642
train,13007
train,11002
train,1560
train,1148
train,8749
train,8861
train,6865
train,13098
train,4919
train,5074
train,5336
train,13379
train,5606
train,9917
train,4651
train,4203
train,856
train,4805
train,10644
train,6293
train,9348
train,10139
train,9263
train,3167
train,2685
train,7198
train,7709
train,7601
train,7097
train,9738
train,5520
train,1545
train,5521
train,7486
train,903
train,4026
train,10297
train,9483
train,5490
train,6534
train,5672
train,1442
train,12537
train,10152
train,371
train,3154
train,11856
train,11203
train,13725
train,11776
train,2587
train,5783
train,1466
train,1430
train,1827
train,5808
train,12182
train,13161
train,5263
train,12521
train,11166
train,4516
train,9223
train,2222
train,8586
train,761
train,6583
train,10054
train,13141
train,44
train,9571
train,13031
train,4385
train,2543
train,7725
train,4323
train,7790
train,12359
train,2660
train,2631
train,7737
train,3799
train,12922
train,10347
train,7463
train,7386
train,251
train,12929
train,3336
train,893
train,11902
train,8348
train,5628
train,12895
train,883
train,10843
train,5723
train,4346
train,6122
train,9649
train,157
train,12791
train,6281
train,5792
train,9251
train,1509
train,7518
train,9534
train,4393
train,3668
train,8292
train,4814
train,577
train,12699
train,3258
train,8425
train,12456
train,3647
train,10945
train,248
train,6982
train,12399
train,8600
train,12354
train,9915
train,10875
train,9737
train,7654
train,1393
train,4859
train,7727
train,6742
train,3246
train,2168
train,5259
train,1942
train,4432
train,335
train,8661
train,2324
train,4627
train,12428
train,3127
train,11111
train,11428
train,13267
train,4468
train,2639
train,4194
train,8486
train,12616
train,7797
train,5584
train,364
train,11048
train,6538
train,9962
train,10665
train,10655
train,4224
train,9327
train,11155
train,2039
train,7590
train,13053
train,10453
train,12419
train,6604
train,6140
train,5502
train,1691
train,7506
train,1482
train,8026
train,712
train,6699
train,5939
train,10149
train,224
train,12109
train,7093
train,3410
train,5125
train,7676
train,7196
train,13387
train,2647
train,10052
train,10091
train,11355
train,13203
train,12617
train,6921
train,11478
train,8518
train,7900
train,3453
train,13073
train,10882
train,10937
train,21
train,9707
train,8241
train,10600
train,6720
train,6101
train,2463
train,579
train,12592
train,8740
train,6171
train,2957
train,8315
train,9693
train,12525
train,9607
train,8920
train,5440
train,829
train,5409
train,2794
train,13134
train,13435
train,12496
train,12965
train,1743
train,1860
train,4447
train,5747
train,6749
train,9011
train,5567
train,4095
train,10207
train,6825
train,1282
train,177
train,3741
train,1200
train,5244
train,4527
train,6891
train,5768
train,8798
train,10239
train,6190
train,11036
train,4734
train,2403
train,1976
train,11839
train,721
train,5142
train,260
train,2345
train,11520
train,3187
train,2494
train,12032
train,941
train,7618
train,7895
train,9288
train,7783
train,54
train,11755
train,4171
train,8954
train,6376
train,7351
train,1472
train,5935
train,2472
train,5916
train,2175
train,10885
train,1628
train,11536
train,7083
train,9284
train,8871
train,8149
train,7159
train,8839
train,5871
train,3284
train,5823
train,8743
train,5054
train,859
train,9187
train,9880
train,11453
train,10424
train,7342
train,8538
train,8282
train,5741
train,9411
train,5777
train,10554
train,12100
train,1505
train,1620
train,13604
train,2641
train,8156
train,10186
train,7976
train,7988
train,4485
train,6620
train,2315
train,3386
train,7436
train,6177
train,6949
train,2041
train,3033
train,9634
train,7186
train,393
train,8142
train,3426
train,7148
train,12912
train,9041
train,9641
train,776
train,13156
train,4355
train,17
train,8039
train,12302
train,1058
train,7070
train,1085
train,413
train,4547
train,4994
train,12706
train,13676
train,7357
train,13611
train,8833
train,2084
train,2581
train,1523
train,1419
train,8321
train,13493
train,410
train,213
train,10489
train,6978
train,9456
train,427
train,10520
train,9500
train,13481
train,6930
train,5495
train,3639
train,11457
train,3458
train,8826
train,1651
train,9542
train,9176
train,4154
train,12702
train,1812
train,2035
train,1992
train,2625
train,10559
train,4891
train,4944
train,11662
train,7205
train,324
train,5858
train,9184
train,8503
train,12618
train,11221
train,10466
train,10203
train,7938
train,8391
train,1980
train,12731
train,9395
train,2318
train,749
train,8446
train,1357
train,1539
train,4302
train,2239
train,13084
train,4068
train,7935
train,10884
train,2559
train,12315
train,5056
train,10308
train,12775
train,1073
train,10449
train,6960
train,683
train,13693
train,5884
train,10702
train,9082
train,4752
train,4867
train,7483
train,11026
train,6244
train,7834
train,3255
train,5231
train,7222
train,2684
train,1327
train,10163
train,6147
train,1615
train,6810
train,5090
train,13430
train,2700
train,9782
train,8583
train,8970
train,440
train,7781
train,9066
train,78
train,557
train,97
train,9772
train,12880
train,7271
train,2838
train,8089
train,9940
train,2421
train,9979
train,5785
train,12055
train,13311
train,8643
train,4593
train,13146
train,4006
train,2524
train,13363
train,299
train,2340
train,183
train,4864
train,7710
train,1312
train,3420
train,11124
train,10046
train,7238
train,3772
train,3480
train,9946
train,8079
train,3357
train,8110
train,12852
train,2902
train,1469
train,2032
train,13621
train,7112
train,12150
train,2971
train,2200
train,9325
train,4544
train,5568
train,4872
train,10889
train,1137
train,11113
train,11941
train,1894
train,2380
train,1394
train,12571
train,13691
train,1749
train,11882
train,4101
train,11754
train,13252
train,3148
train,12125
train,5061
train,4620
train,8699
train,4926
train,2993
train,2356
train,6657
train,6910
train,2966
train,1733
train,7949
train,1835
train,378
train,5186
train,8440
train,2728
train,11227
train,7937
train,3194
train,6653
train,1356
train,3549
train,5601
train,12468
train,615
train,3319
train,5532
train,3023
train,1283
train,11730
train,9180
train,12666
train,12874
train,12463
train,11506
train,7876
train,10802
train,11908
train,11597
train,2809
train,5194
train,7394
train,8476
train,2619
train,9639
train,10144
train,5292
train,11084
train,10624
train,2656
train,4336
train,5038
train,8168
train,5962
train,1473
train,11378
train,6347
train,9679
train,1658
train,4365
train,6220
train,11716
train,2533
train,7106
train,6199
train,7086
train,3785
train,12577
train,7022
train,1205
train,9344
train,807
train,621
train,11075
train,9953
train,12352
train,11373
train,685
train,4071
train,5602
train,7612
train,4284
train,3880
train,9851
train,2695
train,10991
train,3666
train,976
train,353
train,10545
train,12194
train,8160
train,5006
train,6747
train,9433
train,8253
train,1179
train,11049
train,3550
train,6634
train,5650
train,1673
train,1409
train,11708
train,9160
train,2375
train,2644
train,1398
train,12220
train,13627
train,3253
train,1486
train,13439
train,3993
train,441
train,9991
train,9815
train,1708
train,8685
train,9618
train,2596
train,3281
train,3932
train,10457
train,8605
train,8593
train,4193
train,1071
train,1065
train,9161
train,408
train,6928
train,8098
train,5791
train,5430
train,12157
train,13168
train,3768
train,13308
train,2104
train,9183
train,8125
train,9951
train,1903
train,8842
train,9110
train,12207
train,11872
train,5706
train,11897
train,1650
train,11341
train,13679
train,9203
train,4430
train,12303
train,2021
train,7169
train,343
train,2136
train,12046
train,13425
train,5569
train,5733
train,578
train,13642
train,12713
train,8923
train,3093
train,11092
train,9190
train,7701
train,2930
train,4331
train,11226
train,1643
train,13569
train,7224
train,5293
train,12283
train,9809
train,8620
train,6362
train,4434
train,4982
train,7504
train,8030
train,10901
train,5507
train,3659
train,1449
train,175
train,5225
train,9312
train,11704
train,2465
train,12535
train,13564
train,12615
train,10510
train,2376
train,3157
train,5966
train,7297
train,7852
train,9345
train,506
train,10175
train,13106
train,575
train,9145
train,1337
train,11325
train,9785
train,7428
train,8183
train,11904
train,13173
train,8230
train,12193
train,1798
train,7768
train,2339
train,7780
train,6506
train,3662
train,11186
train,527
train,8297
train,10311
train,10507
train,9699
train,12417
train,7613
train,6540
train,5317
train,2250
train,7640
train,13658
train,6002
train,11770
train,7417
train,7587
train,404
train,11988
train,8247
train,5900
train,4535
train,13200
train,7771
train,9291
train,7992
train,6728
train,10746
train,8061
train,6863
train,8043
train,7528
train,10181
train,10898
train,530
train,332
train,4635
train,3383
train,2875
train,1543
train,12061
train,8767
train,5944
train,13709
train,8106
train,9834
train,13013
train,2761
train,4369
train,9860
train,12753
train,12049
train,2142
train,2774
train,11892
train,10847
train,12002
train,10136
train,895
train,7583
train,8662
train,11944
train,1160
train,13690
train,362
train,12248
train,10627
train,13405
train,6335
train,9546
train,1347
train,12933
train,7647
train,678
train,6434
train,1597
train,2873
train,257
train,10995
train,7139
train,2336
train,4326
train,310
train,12108
train,2771
train,8529
train,5973
train,12310
train,12486
train,11834
train,11663
train,655
train,12313
train,8640
train,4229
train,3086
train,6873
train,1203
train,3827
train,13178
train,7591
train,11703
train,9692
train,10836
train,9437
train,10764
train,4579
train,3802
train,4810
train,12993
train,8726
train,6917
train,5511
train,3405
train,5634
train,4689
train,935
train,12511
train,10742
train,10700
train,6333
train,7805
train,6446
train,6954
train,10621
train,7621
train,2556
train,5699
train,10829
train,10185
train,9522
train,13506
train,9993
train,7722
train,5321
train,13357
train,4664
train,1432
train,9971
train,12806
train,7538
train,2458
train,11630
train,3940
train,8360
train,10429
train,6793
train,5798
train,3745
train,231
train,2503
train,12737
train,1763
train,6751
train,3029
train,2649
train,12476
train,9008
train,511
train,3254
train,6566
train,9557
train,12610
train,116
train,8508
train,779
train,6021
train,11444
train,12004
train,4577
train,1259
train,9965
train,4668
train,4922
train,12917
train,2123
train,7051
train,6603
train,4131
train,2576
train,11303
train,13330
train,10869
train,7507
train,7835
train,4158
train,12899
train,5739
train,971
train,2802
train,8356
train,12911
train,6051
train,3992
train,11104
train,12526
train,9209
train,6985
train,2033
train,7339
train,9026
train,13331
train,9961
train,4647
train,10721
train,6143
train,10178
train,2437
train,9046
train,10780
train,12406
train,13
train,13133
train,10774
train,10035
train,13051
train,3018
train,13235
train,11830
train,10683
train,9941
train,8058
train,11426
train,7989
train,9227
train,7823
train,6568
train,8307
train,5617
train,3720
train,2675
train,9328
train,2095
train,5860
train,3014
train,10987
train,8711
train,12676
train,13568
train,1551
train,261
train,4051
train,10129
train,10608
train,10778
train,9521
train,10217
train,8657
train,7020
train,10285
train,10387
train,1636
train,1094
train,8582
train,12319
train,5181
train,12364
train,8470
train,4286
train,12847
train,13209
train,551
train,12501
train,7087
train,2413
train,4991
train,4179
train,1665
train,9103
train,2243
train,9310
train,6527
train,6295
train,4147
train,9552
train,3147
train,10148
train,9595
train,6262
train,5166
train,9224
train,1427
train,2936
train,2220
train,1417
train,9414
train,11985
train,7276
train,7656
train,10392
train,785
train,2457
train,6041
train,13618
train,2904
train,10098
train,3252
train,5626
train,5726
train,9505
train,5016
train,13471
train,5895
train,6507
train,6707
train,4054
train,7502
train,6530
train,1335
train,10406
train,909
train,5928
train,10421
train,10482
train,8710
train,5463
train,68
train,6786
train,6459
train,8660
train,6081
train,13216
train,6197
train,2787
train,10874
train,12338
train,2940
train,9882
train,8101
train,10642
train,11222
train,792
train,2181
train,9909
train,3038
train,4599
train,9777
train,11706
train,10531
train,10633
train,7135
train,245
train,4900
train,1772
train,13374
train,6398
train,13660
train,3991
train,4361
train,3307
train,3763
train,6773
train,11502
train,599
train,3123
train,11069
train,13336
train,1637
train,9013
train,11851
train,9236
train,4960
train,10272
train,3484
train,5413
train,2506
train,9377
train,7060
train,10431
train,5159
train,10615
train,10135
train,10240
train,9016
train,1385
train,2225
train,2502
train,11152
train,4190
train,3094
train,12767
train,12489
train,11922
train,1371
train,2633
train,5072
train,4623
train,1851
train,2606
train,5851
train,11175
train,6618
train,3515
train,4671
train,2512
train,11722
train,1031
train,10151
train,11718
train,8739
train,10249
train,10940
train,4135
train,7948
train,7158
train,10839
train,9828
train,6356
train,13060
train,2691
train,1360
train,2299
train,1300
train,8883
train,9939
train,1338
train,1803
train,5565
train,9564
train,13498
train,7634
train,6517
train,11390
train,3528
train,11794
train,10733
train,13014
train,7225
train,12822
train,7382
train,12598
train,6180
train,465
train,6970
train,3304
train,1606
train,5800
train,6906
train,3231
train,1611
train,3891
train,1780
train,11673
train,9214
train,11550
train,280
train,12669
train,7226
train,13392
train,11552
train,7549
train,523
train,1824
train,12509
train,8161
train,4502
train,2049
train,6986
train,11592
train,4884
train,602
train,9896
train,1433
train,2464
train,12902
train,4181
train,13111
train,12400
train,7078
train,1529
train,1984
train,2447
train,13023
train,1422
train,7273
train,7261
train,12275
train,5953
train,5640
train,3842
train,6144
train,9995
train,6414
train,3134
train,13113
train,8761
train,6627
train,6861
train,5124
train,5368
train,8187
train,525
train,2143
train,6700
train,8936
train,2347
train,4893
train,415
train,2471
train,9273
train,6098
train,5066
train,10506
train,2611
train,7358
train,515
train,9933
train,7401
train,7847
train,2627
train,7779
train,6864
train,5078
train,6495
train,6870
train,11199
train,3579
train,656
train,9349
train,12199
train,5450
train,5306
train,5388
train,4023
train,11702
train,3214
train,3746
train,63
train,12906
train,9423
train,4741
train,7365
train,127
train,10908
train,6444
train,10182
train,10310
train,7858
train,2730
train,10503
train,925
train,10179
train,7369
train,8485
train,10499
train,1612
train,7184
train,4213
train,6481
train,8324
train,8112
train,3595
train,3400
train,8585
train,5748
train,1619
train,11676
train,13519
train,12998
train,4591
train,11196
train,9659
train,3699
train,9247
train,5485
train,6745
train,554
train,5386
train,5140
train,7534
train,6219
train,7059
train,3761
